entity	יֵשׁוּת
spoon	כַּף
spoon	!כַּף
sprinkler	מַמְטֵרָה
squash racket	מַחְבֵּט-סְקְווֹשׁ
squash racquet	מַחְבֵּט-סְקְווֹשׁ
bat	מַחְבֵּט-סְקְווֹשׁ
stable	אֻרְוָה
stalls	אֻרְוָה
horse barn	אֻרְוָה
starship	סְפִינַת-חָלָל
starship	חֲלָלִית
spaceship	סְפִינַת-חָלָל
spaceship	חֲלָלִית
statue	!פֶּסֶל
steel	מַשְׁחֵז
step	מַדְרֵגָה
stair	מַדְרֵגָה
stitch	עַיִן
stock exchange	בּוּרְסָה
stock market	בּוּרְסָה
securities market	בּוּרְסָה
strainer	מִסְנֶנֶת
strainer	מְסַנֶּנֶת
streetcar	חַשְׁמַלִּית
tram	חַשְׁמַלִּית
tramcar	חַשְׁמַלִּית
trolley	חַשְׁמַלִּית
trolley car	חַשְׁמַלִּית
stronghold	!מָעֹז
stronghold	!מְצָד
fastness	!מָעֹז
fastness	!מְצָד
structure	מִבְנֶה
construction	מִבְנֶה
studio	אֻלְפָּן
studio	סְטוּדְיוֹ
studio apartment	דִּירַת-סְטוּדְיוֹ
studio	דִּירַת-סְטוּדְיוֹ
subject	מֻשָּׂא-תֵּאוּר
content	מֻשָּׂא-תֵּאוּר
depicted object	מֻשָּׂא-תֵּאוּר
suede cloth	!זַמְשׁ
suede	!זַמְשׁ
suit	חֲלִיפָה
suit of clothes	חֲלִיפָה
sum	!סְכוּם
sum	!סָךְ
sum	!סַךְ
total	!סְכוּם
total	!סָךְ
total	!סַךְ
totality	!סְכוּם
totality	!סָךְ
totality	!סַךְ
aggregate	!סְכוּם
aggregate	!סָךְ
aggregate	!סַךְ
suppository	נֵר
suppository	פְּתִילָה
surfboard	גַּלְשָׁן
suspension	!מַתַּכְתִּי
suspension system	!מַתַּכְתִּי
sweater	סְוֶדֶר
jumper	סְוֶדֶר
switchboard	!מֶרְכָּזִיָּה
patchboard	!מֶרְכָּזִיָּה
plugboard	!מֶרְכָּזִיָּה
sword	חֶרֶב
blade	חֶרֶב
brand	חֶרֶב
steel	חֶרֶב
syringe	מַזְרֵק
tablecloth	מַפָּה
tambourine	טַמְבּוּרִין
tambourine	תֹּף-מִרְיָם
tape	מֶטֶר
tape	סֶרֶט-מִדָּה
tapeline	מֶטֶר
tapeline	סֶרֶט-מִדָּה
tape measure	מֶטֶר
tape measure	סֶרֶט-מִדָּה
tape recorder	טֵיְפּ
tape recorder	רְשַׁמְקוֹל
tape machine	טֵיְפּ
tape machine	רְשַׁמְקוֹל
tassel	גְּדִיל
teaspoon	כַּפִּית
telephone	טֶלֶפוֹן
phone	טֶלֶפוֹן
telephone set	טֶלֶפוֹן
television	טֶלֶוִיזְיָה
television	טֶלֶבִיזְיָה
television system	טֶלֶוִיזְיָה
television system	טֶלֶבִיזְיָה
television receiver	הַמָּסָךְ-הַקָּטָן
television receiver	טֶלֶוִיזְיָה
television receiver	טֶלֶבִיזְיָה
television	הַמָּסָךְ-הַקָּטָן
television set	הַמָּסָךְ-הַקָּטָן
television set	טֶלֶוִיזְיָה
television set	טֶלֶבִיזְיָה
tv	הַמָּסָךְ-הַקָּטָן
tv	טֶלֶוִיזְיָה
tv	טֶלֶבִיזְיָה
tv set	הַמָּסָךְ-הַקָּטָן
tv set	טֶלֶוִיזְיָה
tv set	טֶלֶבִיזְיָה
idiot box	הַמָּסָךְ-הַקָּטָן
idiot box	טֶלֶוִיזְיָה
idiot box	טֶלֶבִיזְיָה
boob tube	הַמָּסָךְ-הַקָּטָן
boob tube	טֶלֶוִיזְיָה
boob tube	טֶלֶבִיזְיָה
telly	הַמָּסָךְ-הַקָּטָן
telly	טֶלֶוִיזְיָה
telly	טֶלֶבִיזְיָה
goggle box	הַמָּסָךְ-הַקָּטָן
goggle box	טֶלֶוִיזְיָה
goggle box	טֶלֶבִיזְיָה
tent	אֹהֶל
collapsible shelter	אֹהֶל
terminal	מָסוֹף
theater	תֵּאַטְרוֹן
theatre	תֵּאַטְרוֹן
house	תֵּאַטְרוֹן
thermometer	מַדְחֹם
thermometer	תֶּרְמוֹמֶטֶר
thing	דָּבָר
thread	חוּט
yarn	חוּט
tie	אֶדֶן
railroad tie	אֶדֶן
crosstie	אֶדֶן
sleeper	אֶדֶן
tile	אָרִיחַ
tile	מַרְצֶפֶת
toothpick	קֵיסָם
toothpick	קֵיסַם-שִׁנַּיִם
toothpick	מַחְצֵצָה
towel	מַגֶּבֶת
tower	מִגְדָּל
town hall	בֵּית-הָעִירִיָּה
town hall	הָעִירִיָּה
transformer	שַׁנַּאי
transformer	טְרַנְסְפוֹרְמָטוֹר
transmitter	מַשְׁדֵּר
sender	מַשְׁדֵּר
tray	מַגָּשׁ
tray	טַס
triangle	מְשֻׁלָּשׁ
tunnel	מִנְהָרָה
umbrella	מִטְרִיָּה
underwear	לְבָנִים
underwear	הַלְבָּשָׁה-תַּחְתּוֹנָה
underclothes	לְבָנִים
underclothes	הַלְבָּשָׁה-תַּחְתּוֹנָה
underclothing	לְבָנִים
underclothing	הַלְבָּשָׁה-תַּחְתּוֹנָה
uniform	מַדִּים
upholstery	רִפּוּד
utensil	!כְּלִי
vaccine	תַּרְכִּיב
vaccine	חִסּוּן
vaccinum	תַּרְכִּיב
vaccinum	חִסּוּן
vase	אֲגַרְטָל
vehicle	רֶכֶב
velvet	קְטִיפָה
ventilator	מְאַוְרֵר
ventilator	וֶנְטִילָטוֹר
vineyard	כֶּרֶם
vinery	כֶּרֶם
violin	כִּנּוֹר
fiddle	כִּנּוֹר
wallet	אַרְנָק
billfold	אַרְנָק
notecase	אַרְנָק
pocketbook	אַרְנָק
ward	GAP!
hospital ward	GAP!
warp	שְׁתִי
watchtower	מִגְדַּל-תַּצְפִּית
water faucet	בֶּרֶז
water tap	בֶּרֶז
tap	בֶּרֶז
hydrant	בֶּרֶז
weapon	כְּלִי-נֶשֶׁק
weapon	כְּלִי
weapon	נֶשֶׁק
weapon	כְּלִי-זַיִן
arm	כְּלִי-נֶשֶׁק
arm	כְּלִי
arm	נֶשֶׁק
arm	כְּלִי-זַיִן
weapon system	כְּלִי-נֶשֶׁק
weapon system	כְּלִי
weapon system	נֶשֶׁק
weapon system	כְּלִי-זַיִן
whip	שׁוֹט
white	לָבָן
windowsill	אֶדֶן
windshield	מָגֵן-רוּחַ
windscreen	מָגֵן-רוּחַ
wire	חוּט
wire	חוּט-חַשְׁמַל
conducting wire	חוּט-חַשְׁמַל
woof	עֵרֶב
weft	עֵרֶב
filling	עֵרֶב
pick	עֵרֶב
workplace	מְקוֹם-עֲבוֹדָה
workplace	עֲבוֹדָה
work	מְקוֹם-עֲבוֹדָה
work	עֲבוֹדָה
workstation	תַּחֲנַת-עֲבוֹדָה
wreath	זֵר
garland	זֵר
coronal	זֵר
chaplet	זֵר
lei	זֵר
wreckage	שָׂרִיד
wringer	מִתְקָן-סְחִיטָה
yield	!פְּרִי
fruit	!פְּרִי
personality	אִישִׁיּוּת
introversion	!הַפְנָמָה
aloneness	הִתְבּוֹדְדוּת
loneliness	הִתְבּוֹדְדוּת
lonesomeness	הִתְבּוֹדְדוּת
solitariness	הִתְבּוֹדְדוּת
disposition	טֶמְפֶּרָמֶנְט
disposition	מֶזֶג
temperament	טֶמְפֶּרָמֶנְט
temperament	מֶזֶג
exuberance	!הִתְלַהֲבוּת
enthusiasm	!הִתְלַהֲבוּת
ebullience	!הִתְלַהֲבוּת
apathy	אָפַּתְיָה
indifference	אָפַּתְיָה
numbness	אָפַּתְיָה
spiritlessness	אָפַּתְיָה
permissiveness	מַתִּירָנוּת
tolerance	מַתִּירָנוּת
patience	סַבְלָנוּת
patience	אֹרֶך-רוּחַ
forbearance	סַבְלָנוּת
forbearance	אֹרֶך-רוּחַ
longanimity	סַבְלָנוּת
longanimity	אֹרֶך-רוּחַ
aggressiveness	אַגְרֶסִיבִיּוּת
aggressiveness	תּוֹקְפָנוּת
belligerence	אַגְרֶסִיבִיּוּת
belligerence	תּוֹקְפָנוּת
pugnacity	אַגְרֶסִיבִיּוּת
pugnacity	תּוֹקְפָנוּת
reluctance	!הִסּוּס
hesitancy	!הִסּוּס
hesitation	!הִסּוּס
disinclination	!הִסּוּס
indisposition	!הִסּוּס
graveness	חֻמְרָה
gravity	חֻמְרָה
sobriety	חֻמְרָה
soberness	חֻמְרָה
somberness	חֻמְרָה
sombreness	חֻמְרָה
jocoseness	GAP!
jocosity	GAP!
merriness	GAP!
humorousness	GAP!
reserve	שַׁתְקָנוּת
reticence	שַׁתְקָנוּת
taciturnity	שַׁתְקָנוּת
neighborliness	שְׁכֵנוּת-טוֹבָה
neighbourliness	שְׁכֵנוּת-טוֹבָה
good-neighborliness	שְׁכֵנוּת-טוֹבָה
good-neighbourliness	שְׁכֵנוּת-טוֹבָה
adventurism	!הַרְפַּתְקָנוּת
caution	זְהִירוּת
cautiousness	זְהִירוּת
carefulness	זְהִירוּת
neglectfulness	רַשְׁלָנוּת
masculinity	גַּבְרוּת
masculinity	גַּבְרִיּוּת
womanliness	!נָשִׁיּוּת
womanlike	!נָשִׁיּוּת
trustworthiness	!מְהֵימָנוּת
trustiness	!מְהֵימָנוּת
responsibility	אַחְרָיוּת
responsibility	אַחֲרָיוּת
responsibleness	אַחְרָיוּת
responsibleness	אַחֲרָיוּת
dependability	מְהֵימָנוּת
dependability	אֲמִינוּת
dependableness	מְהֵימָנוּת
dependableness	אֲמִינוּת
reliability	מְהֵימָנוּת
reliability	אֲמִינוּת
reliableness	מְהֵימָנוּת
reliableness	אֲמִינוּת
meticulousness	!הַקְפָּדָה
meticulosity	!הַקְפָּדָה
punctiliousness	!הַקְפָּדָה
scrupulousness	!הַקְפָּדָה
thoroughness	יְסוֹדִיּוּת
beauty	יֹפִי
glory	!תְּהִלָּה
resplendence	!תְּהִלָּה
resplendency	!תְּהִלָּה
glamor	זֹהַר
glamour	זֹהַר
appeal	קֶסֶם
appealingness	קֶסֶם
charm	קֶסֶם
ugliness	כִּעוּר
definition	!הַגְדָּרָה
haziness	!עִרְפּוּל
mistiness	!עִרְפּוּל
steaminess	!עִרְפּוּל
vaporousness	!עִרְפּוּל
vapourousness	!עִרְפּוּל
quality	תְּכוּנָה
constancy	קְבִיעוּת
stability	קְבִיעוּת
monotony	חַד-ְגּוֹנִיּוּת
monotony	חַדְגּוֹנִיּוּת
monotony	מוֹנוֹטוֹנִיּוּת
humdrum	חַד-ְגּוֹנִיּוּת
humdrum	חַדְגּוֹנִיּוּת
humdrum	מוֹנוֹטוֹנִיּוּת
sameness	חַד-ְגּוֹנִיּוּת
sameness	חַדְגּוֹנִיּוּת
sameness	מוֹנוֹטוֹנִיּוּת
resemblance	!דִּמְיוֹן
gulf	תְּהוֹם
disconnect	תְּהוֹם
disconnection	תְּהוֹם
likelihood	סְבִירוּת
likeliness	סְבִירוּת
doubt	סָפֵק
dubiousness	סָפֵק
doubtfulness	סָפֵק
question	סָפֵק
concreteness	מוּחָשִׁיּוּת
concreteness	מַמָּשִׁיּוּת
singularity	יִחוּד
singularity	מְיֻחָדוּת
singularity	יִחוּדִיּוּת
uniqueness	יִחוּד
uniqueness	מְיֻחָדוּת
uniqueness	יִחוּדִיּוּת
complexity	מֻרְכָּבוּת
complexness	מֻרְכָּבוּת
orderliness	שִׁיטָתִיּוּת
methodicalness	שִׁיטָתִיּוּת
mobility	!נַיָּדוּת
stability	יַצִּיבוּת
stableness	יַצִּיבוּת
artificiality	מְלָאכוּתִיּוּת
pretentiousness	יָמְרָה
pretension	יָמְרָה
largeness	יָמְרָה
preciseness	!דִּיּוּק
precision	!דִּיּוּק
baseness	שִׁפְלוּת
baseness	נִבְזוּת
baseness	נִבְזִיּוּת
baseness	נַוְלוּת
sordidness	שִׁפְלוּת
sordidness	נִבְזוּת
sordidness	נִבְזִיּוּת
sordidness	נַוְלוּת
contemptibility	שִׁפְלוּת
contemptibility	נִבְזוּת
contemptibility	נִבְזִיּוּת
contemptibility	נַוְלוּת
despicableness	שִׁפְלוּת
despicableness	נִבְזוּת
despicableness	נִבְזִיּוּת
despicableness	נַוְלוּת
despicability	שִׁפְלוּת
despicability	נִבְזוּת
despicability	נִבְזִיּוּת
despicability	נַוְלוּת
legality	חֻקִּיּוּת
clarity	בְּהִירוּת
lucidity	בְּהִירוּת
lucidness	בְּהִירוּת
pellucidity	בְּהִירוּת
clearness	בְּהִירוּת
limpidity	בְּהִירוּת
piety	אֲדִיקוּת
piousness	אֲדִיקוּת
devoutness	דְּבֵקוּת
religiousness	דְּבֵקוּת
mark of Cain	אוֹת-קַיִן
compassion	חֶמְלָה
pity	חֶמְלָה
miserliness	!קַמְצָנוּת
enterprise	יָזְמָה
enterprisingness	יָזְמָה
initiative	יָזְמָה
go-ahead	יָזְמָה
ambition	אַמְבִּיצְיָה
ambition	שְׁאַפְתָּנוּת
ambition	הֶשֵּׂגִיּוּת
ambitiousness	אַמְבִּיצְיָה
ambitiousness	שְׁאַפְתָּנוּת
ambitiousness	הֶשֵּׂגִיּוּת
presumption	!הַשְׁעָרָה
presumptuousness	!הַשְׁעָרָה
effrontery	!הַשְׁעָרָה
assumption	!הַשְׁעָרָה
grace	חֶסֶד
grace of God	חֶסֶד
free grace	חֶסֶד
consideration	הִתְחַשְּׁבוּת
considerateness	הִתְחַשְּׁבוּת
thoughtfulness	הִתְחַשְּׁבוּת
conscience	!מַצְפּוּן
good	טוּב
goodness	טוּב
injustice	גְּרִימַת-עָוֶל
unjustness	גְּרִימַת-עָוֶל
holiness	קְדֻשָּׁה
holiness	קֹדֶשׁ
sanctity	קְדֻשָּׁה
sanctity	קֹדֶשׁ
sanctitude	קְדֻשָּׁה
sanctitude	קֹדֶשׁ
courage	אֹמֶץ
courageousness	אֹמֶץ
bravery	אֹמֶץ
braveness	אֹמֶץ
heroism	הֶרוֹאִיזְם
heroism	גְּבוּרָה
gallantry	הֶרוֹאִיזְם
gallantry	גְּבוּרָה
valor	הֶרוֹאִיזְם
valor	גְּבוּרָה
valour	הֶרוֹאִיזְם
valour	גְּבוּרָה
valorousness	הֶרוֹאִיזְם
valorousness	גְּבוּרָה
valiance	הֶרוֹאִיזְם
valiance	גְּבוּרָה
valiancy	הֶרוֹאִיזְם
valiancy	גְּבוּרָה
stubbornness	עַקְשָׁנוּת
bullheadedness	עַקְשָׁנוּת
obstinacy	עַקְשָׁנוּת
obstinance	עַקְשָׁנוּת
pigheadedness	עַקְשָׁנוּת
self-will	עַקְשָׁנוּת
determination	!מַטָּרָה
purpose	!מַטָּרָה
diligence	!תַּעֲשִׂיָּה
industriousness	!תַּעֲשִׂיָּה
industry	!תַּעֲשִׂיָּה
heartiness	לְבָבִיּוּת
wholeheartedness	לְבָבִיּוּת
honesty	יֹשֶׁר
honestness	יֹשֶׁר
truthfulness	יֹשֶׁר-לֵב
fraudulence	!רְמִיָּה
fraudulence	!רַמָּאוּת
fidelity	!נֶאֱמָנוּת
faithfulness	!נֶאֱמָנוּת
patriotism	פַּטְרִיוֹטִיּוּת
patriotism	לְאֻמִּיּוּת
patriotism	פַּטְרִיוֹטִיזְם
nationalism	פַּטְרִיוֹטִיּוּת
nationalism	לְאֻמִּיּוּת
nationalism	פַּטְרִיוֹטִיזְם
naivete	נָאִיבִיּוּת
naivete	תְּמִימוּת
naivety	נָאִיבִיּוּת
naivety	תְּמִימוּת
naiveness	נָאִיבִיּוּת
naiveness	תְּמִימוּת
austerity	פְּרִישׁוּת
austerity	צֶנַע
austerity	סַגְפָנוּת
asceticism	פְּרִישׁוּת
asceticism	צֶנַע
asceticism	סַגְפָנוּת
nonindulgence	פְּרִישׁוּת
nonindulgence	צֶנַע
nonindulgence	סַגְפָנוּת
abstinence	GAP!
abstention	GAP!
dignity	כָּבוֹד
dignity	כָּבוֹד-עַצְמִי
self-respect	כָּבוֹד
self-respect	כָּבוֹד-עַצְמִי
self-regard	כָּבוֹד
self-regard	כָּבוֹד-עַצְמִי
self-worth	כָּבוֹד
self-worth	כָּבוֹד-עַצְמִי
boastfulness	רַבְרְבָנוּת
vainglory	רַבְרְבָנוּת
arrogance	יְהִירוּת
arrogance	יָהֳרָה
haughtiness	יְהִירוּת
haughtiness	יָהֳרָה
hauteur	יְהִירוּת
hauteur	יָהֳרָה
high-handedness	יְהִירוּת
high-handedness	יָהֳרָה
lordliness	יְהִירוּת
lordliness	יָהֳרָה
clannishness	!בִּלְעָדִיּוּת
cliquishness	!בִּלְעָדִיּוּת
exclusiveness	!בִּלְעָדִיּוּת
humility	עֲנָוָה
humility	עַנְוְתָנוּת
humbleness	עֲנָוָה
humbleness	עַנְוְתָנוּת
profligacy	!פַּזְרָנוּת
suspicion	חַשְׁדָנוּת
suspiciousness	חַשְׁדָנוּת
fastidiousness	בַּרְרָנוּת
demeanor	!נִהוּל
demeanour	!נִהוּל
deportment	!נִהוּל
modesty	!עֲנָוָה
modesty	!צְנִיעוּת
reserve	!עֲנָוָה
reserve	!צְנִיעוּת
obscenity	זִמָּה
lewdness	זִמָּה
bawdiness	זִמָּה
salaciousness	זִמָּה
salacity	זִמָּה
obedience	צַיְתָנוּת
stubbornness	קַשְׁיוּת-עֹרֶף
obstinacy	קַשְׁיוּת-עֹרֶף
obstinance	קַשְׁיוּת-עֹרֶף
mulishness	קַשְׁיוּת-עֹרֶף
mulishness	עַקְשָׁנוּת
formality	רִשְׁמִיּוּת
formalness	רִשְׁמִיּוּת
ceremoniousness	טִקְסִיּוּת
chivalry	אַבִּירוּת
gallantry	אַבִּירוּת
politesse	אַבִּירוּת
education	דֶּרֶךְ-אֶרֶץ
training	דֶּרֶךְ-אֶרֶץ
breeding	דֶּרֶךְ-אֶרֶץ
childishness	GAP!
puerility	GAP!
manner	צוּרָה
manner	דֶּרֶךְ
manner	סִגְנוֹן
mode	צוּרָה
mode	דֶּרֶךְ
mode	סִגְנוֹן
style	צוּרָה
style	דֶּרֶךְ
style	סִגְנוֹן
way	צוּרָה
way	דֶּרֶךְ
way	סִגְנוֹן
fashion	צוּרָה
fashion	דֶּרֶךְ
fashion	סִגְנוֹן
life style	סִגְנוֹן-חַיִּים
life-style	סִגְנוֹן-חַיִּים
lifestyle	סִגְנוֹן-חַיִּים
modus vivendi	סִגְנוֹן-חַיִּים
wise	!שִׁיטָה
wise	!דֶּרֶךְ
wise	!צוּרָה
wise	!אֹפֶן
framework	שֶׁלֶד
framework	מִבְנֶה
fabric	שֶׁלֶד
fabric	מִבְנֶה
constitution	הֶרְכֵּב
composition	הֶרְכֵּב
physical composition	הֶרְכֵּב
makeup	הֶרְכֵּב
make-up	הֶרְכֵּב
viscosity	צְמִיגוּת
viscousness	צְמִיגוּת
compressibility	!דְּחִיסוּת
squeezability	!דְּחִיסוּת
sponginess	!דְּחִיסוּת
brittleness	פְּרִיכוּת
crispness	פְּרִיכוּת
crispiness	פְּרִיכוּת
penetrability	!חֲדִירוּת
perviousness	!חֲדִירוּת
tendency	!נְטִיָּה
inclination	!נְטִיָּה
hunger	צִמָּאוֹן
hunger	צָמָא
hunger	רָעָב
hungriness	צִמָּאוֹן
hungriness	צָמָא
hungriness	רָעָב
thirst	צִמָּאוֹן
thirst	צָמָא
thirst	רָעָב
thirstiness	צִמָּאוֹן
thirstiness	צָמָא
thirstiness	רָעָב
acquisitiveness	רְכוּשָׁנוּת
nap	GAP!
radiance	זֹהַר
radiancy	זֹהַר
shine	זֹהַר
effulgence	זֹהַר
refulgence	זֹהַר
refulgency	זֹהַר
shininess	בָּרָק
sheen	בָּרָק
luster	בָּרָק
lustre	בָּרָק
shade	גָּוֶן
tint	גָּוֶן
tincture	גָּוֶן
tone	גָּוֶן
white	לֹבֶן
whiteness	לֹבֶן
chalk	!גִּיר
redness	אָדֹם
crimson	!שָׁנִי
ruby	!שָׁנִי
deep red	!שָׁנִי
scarlet	!שָׁנִי
vermilion	!שָׁנִי
orange red	!שָׁנִי
rose	GAP!
rosiness	GAP!
gruffness	צְרִידוּת
hoarseness	צְרִידוּת
huskiness	צְרִידוּת
piano	פְּיָאנוֹ
piano	פְּיָאנִיסִימוֹ
pianissimo	פְּיָאנוֹ
pianissimo	פְּיָאנִיסִימוֹ
spiciness	!תַּבְלִין
spice	!תַּבְלִין
spicery	!תַּבְלִין
physique	מִבְנֶה-גּוּף
build	מִבְנֶה-גּוּף
body-build	מִבְנֶה-גּוּף
habitus	מִבְנֶה-גּוּף
fatness	שֹׁמֶן
fatness	מִשְׁמַנִּים
fat	שֹׁמֶן
fat	מִשְׁמַנִּים
blubber	שֹׁמֶן
blubber	מִשְׁמַנִּים
avoirdupois	שֹׁמֶן
avoirdupois	מִשְׁמַנִּים
sex	מִין
sex	גֶ'נְדֶר
sex	מִגְדָּר
gender	מִין
gender	גֶ'נְדֶר
gender	מִגְדָּר
sexuality	מִין
sexuality	גֶ'נְדֶר
sexuality	מִגְדָּר
temperature	טֶמְפֶּרָטוּרָה
weight	מִשְׁקָל
momentum	תֶּנַע
momentum	מוֹמֶנְטוּם
brawn	!שְׁרִיר
brawniness	!שְׁרִיר
muscle	!שְׁרִיר
muscularity	!שְׁרִיר
sinew	!שְׁרִיר
heftiness	!שְׁרִיר
momentum	תְּנוּפָה
impulse	תְּנוּפָה
ferocity	GAP!
fierceness	GAP!
furiousness	GAP!
fury	GAP!
vehemence	GAP!
violence	GAP!
wildness	GAP!
rain	גֶּשֶׁם
rain	מָטָר
pelting	גֶּשֶׁם
pelting	מָטָר
timing	טַיְמִינְג
timing	עִתּוּי
duration	!מֶשֶׁךְ
length	!מֶשֶׁךְ
permanence	קֶבַע
permanence	קְבִיעוּת
permanency	קֶבַע
permanency	קְבִיעוּת
mortality	!תְּמוּתָה
speed	מְהִירוּת
swiftness	מְהִירוּת
fastness	מְהִירוּת
pace	קֶצֶב
rate	קֶצֶב
deceleration	הֶאָטָה
slowing	הֶאָטָה
retardation	הֶאָטָה
gradient	שִׁפּוּעַ
slope	שִׁפּוּעַ
pitch	נְטִיָּה
rake	נְטִיָּה
slant	נְטִיָּה
abruptness	תְּלִילוּת
precipitousness	תְּלִילוּת
steepness	תְּלִילוּת
position	מַצָּב
spatial relation	מַצָּב
centrality	מֶרְכָּזִיּוּת
position	תְּנוּחָה
posture	תְּנוּחָה
attitude	תְּנוּחָה
stance	עֶמְדָּה
dispersion	!חֲלֻקָּה
probability	סִכּוּי
chance	סִכּוּי
circumference	הֶקֵּף
perimeter	הֶקֵּף
smallness	קַטְנוּת
smallness	קֹטֶן
littleness	קַטְנוּת
littleness	קֹטֶן
rise	הַעֲלָאָה
wage hike	הַעֲלָאָה
hike	הַעֲלָאָה
wage increase	הַעֲלָאָה
salary increase	הַעֲלָאָה
drop	נְפִילָה
dip	נְפִילָה
fall	נְפִילָה
free fall	נְפִילָה
deficit	מַחְסוֹר
deficit	חֶסֶר
shortage	מַחְסוֹר
shortage	חֶסֶר
shortfall	מַחְסוֹר
shortfall	חֶסֶר
abundance	שֶׁפַע
copiousness	שֶׁפַע
teemingness	שֶׁפַע
profusion	שֶׁפַע
profuseness	שֶׁפַע
richness	שֶׁפַע
cornucopia	שֶׁפַע
luxury	לוּקְסוּס
luxury	מוֹתָרוֹת
excess	עֹדֶף
surplus	עֹדֶף
surplusage	עֹדֶף
nimiety	עֹדֶף
overplus	גֹּדֶשׁ
plethora	גֹּדֶשׁ
superfluity	גֹּדֶשׁ
embarrassment	גֹּדֶשׁ
majority	רֹב
majority	עִקָּר
bulk	רֹב
bulk	עִקָּר
minority	מִעוּט
extent	!הֶקֵּף
extent	!מִדָּה
limit	גְּבוּל
bound	גְּבוּל
boundary	גְּבוּל
altitude	רוּם
height	רוּם
worth	עֵרֶךְ
worthwhileness	כְּדָאִיּוּת
goodness	טוֹב
monetary value	!מְחִיר
price	!מְחִיר
cost	!מְחִיר
lavishness	פְּאֵר
luxury	פְּאֵר
sumptuosity	פְּאֵר
sumptuousness	פְּאֵר
purpose	תַּפְקִיד
use	תַּפְקִיד
fitness	!כְּשִׁירוּת
incompetence	אִי-כְּשִׁירוּת
incompetency	אִי-כְּשִׁירוּת
aid	סִיּוּעַ
assistance	סִיּוּעַ
help	סִיּוּעַ
advantage	יִתְרוֹן
vantage	יִתְרוֹן
profit	יִתְרוֹן
profit	טוֹבַת-הֲנָאָה
profit	רֶוַח
gain	יִתְרוֹן
gain	טוֹבַת-הֲנָאָה
gain	רֶוַח
profitableness	!רִוְחִיּוּת
profitability	!רִוְחִיּוּת
gainfulness	!רִוְחִיּוּת
lucrativeness	!רִוְחִיּוּת
preference	קְדִימָה
preference	קְדִימוּת
good	!טוּב
limitation	מִגְבָּלָה
price	מְחִיר
cost	מְחִיר
toll	מְחִיר
destructiveness	!הַרְסָנוּת
poison	רַעַל
importance	חֲשִׁיבוּת
urgency	!דְּחִיפוּת
prerogative	פְּרִיבִילֶגְיָה
prerogative	זְכוּת-יֶתֶר
privilege	פְּרִיבִילֶגְיָה
privilege	זְכוּת-יֶתֶר
perquisite	פְּרִיבִילֶגְיָה
perquisite	זְכוּת-יֶתֶר
exclusive right	פְּרִיבִילֶגְיָה
exclusive right	זְכוּת-יֶתֶר
grip	שְׁלִיטָה
grasp	שְׁלִיטָה
ability	יְכֹלֶת
body	גּוּף
organic structure	גּוּף
physical structure	גּוּף
human body	גּוּף-הָאָדָם
physical body	גּוּף-הָאָדָם
material body	גּוּף-הָאָדָם
soma	גּוּף-הָאָדָם
build	גּוּף-הָאָדָם
figure	גּוּף-הָאָדָם
physique	גּוּף-הָאָדָם
anatomy	גּוּף-הָאָדָם
shape	גּוּף-הָאָדָם
bod	גּוּף-הָאָדָם
chassis	גּוּף-הָאָדָם
frame	גּוּף-הָאָדָם
form	גּוּף-הָאָדָם
flesh	גּוּף-הָאָדָם
cadaver	!גּוּפָה
corpse	!גּוּפָה
stiff	!גּוּפָה
clay	!גּוּפָה
remains	!גּוּפָה
mummy	מוּמְיָה
mummy	חָנוּט
area	GAP!
region	GAP!
anatomical structure	מִבְנֶה
complex body part	מִבְנֶה
bodily structure	מִבְנֶה
body structure	מִבְנֶה
orifice	!פֶּה
opening	!פֶּה
porta	!פֶּה
head of hair	רַעֲמָה
lock	תַּלְתַּל
curl	תַּלְתַּל
ringlet	תַּלְתַּל
whorl	תַּלְתַּל
permanent wave	פֶּרְמָנֶנְט
permanent	פֶּרְמָנֶנְט
perm	פֶּרְמָנֶנְט
mustache	שָׂפָם
moustache	שָׂפָם
flesh	בָּשָׂר
adipose tissue	רִקְמַת-שֻׁמָּן
adipose tissue	שֻׁמָּן
fat	רִקְמַת-שֻׁמָּן
fat	שֻׁמָּן
fatty tissue	רִקְמַת-שֻׁמָּן
fatty tissue	שֻׁמָּן
bone	גֶּרֶם
bone	עֶצֶם
os	גֶּרֶם
os	עֶצֶם
patella	פִּקַּת-הַבֶּרֶךְ
kneecap	פִּקַּת-הַבֶּרֶךְ
kneepan	פִּקַּת-הַבֶּרֶךְ
rib	צֶלַע
costa	צֶלַע
vertebra	חֻלְיָה
cartilage	סְחוּס
gristle	סְחוּס
muscle	שְׁרִיר
muscular tissue	שְׁרִיר
musculus	!שְׁרִיר
tendon	גִּיד
sinew	גִּיד
organ	כְּלִי
organ	אֵיבָר
uvula	עִנְבָּל
palate	חֵךְ
roof of the mouth	חֵךְ
eye	עַיִן
oculus	עַיִן
optic	עַיִן
eyebrow	גַּבָּה
brow	גַּבָּה
supercilium	גַּבָּה
eyelid	עַפְעַף
eyelid	שְׁמוּרַת-עַיִן
lid	עַפְעַף
lid	שְׁמוּרַת-עַיִן
palpebra	עַפְעַף
palpebra	שְׁמוּרַת-עַיִן
cornea	קַרְנִית
crystalline lens	עֲדָשָׁה
lens of the eye	עֲדָשָׁה
gland	בַּלּוּטָה
secretory organ	בַּלּוּטָה
